1, 42 41 20 8 12 11 1 28 -27 -26 25 21 14 2 4 -3 -39 43 40 -7 -6 -5 45 -44 -38 -37 36 -32 -31 -30 29 -22 -24 23 -34 33 10 -9 -13 -15 -16 -17 -18 -19 -35 
2, 42 41 20 8 12 11 1 28 -27 -26 25 21 14 -4 -3 -2 39 -38 -37 -36 -7 43 40 -6 -5 -45 44 -13 -32 -31 -30 29 -22 -24 23 34 -33 -10 9 -15 -16 17 -18 19 35 
3, 42 41 20 8 12 11 1 28 -27 -26 25 21 14 2 -4 3 -39 43 40 -7 -6 -5 -45 44 38 -37 -36 -13 -34 -33 -29 32 -31 -30 -24 -23 22 10 -9 -15 16 17 18 19 35 
4, 42 41 20 8 12 11 1 28 -27 -26 25 21 14 2 4 -3 39 -38 -37 -36 -7 43 40 -6 -5 45 -44 -34 -33 -29 -22 -32 31 -30 -24 23 -10 9 -13 15 -16 -17 -18 -19 -35 
5, 42 41 20 8 12 11 1 28 -27 -26 25 21 14 2 4 -3 -39 43 40 -7 -6 -5 -45 44 38 -37 -36 -13 -32 -31 -30 29 -24 -23 22 34 -33 -10 9 -15 16 17 -18 -19 -35 
6, 42 41 20 8 12 11 1 28 -27 -26 25 21 14 2 4 -3 39 -38 -37 -36 -7 43 40 -6 -5 -45 44 -13 -32 -31 -30 29 -22 24 -23 -34 33 -10 9 15 16 17 18 -19 -35 
7, 42 41 20 8 12 11 1 28 -27 -26 25 21 14 2 -4 3 -39 43 40 -7 -6 -5 45 -44 -38 -37 36 -32 -31 -30 29 -22 24 -23 -34 33 10 -9 -13 -15 16 -17 18 -19 -35 
8, 42 41 20 8 12 11 1 28 -27 -26 25 21 14 2 4 -3 39 -38 -37 -36 -7 43 40 -6 -5 -45 44 -13 -34 -33 -29 32 -31 -30 -24 -23 22 10 -9 15 16 17 -18 19 -35 
9, 42 41 20 8 12 11 1 28 -27 -26 25 21 14 2 4 -3 -39 43 40 -7 -6 -5 45 -44 -38 -37 36 -34 -33 -29 -22 -32 31 -30 -24 23 10 -9 -13 15 -16 -17 18 -19 35 
10, 42 41 20 8 12 11 1 -35 -34 -33 -32 -31 -30 -29 -28 -25 -24 -23 -22 -21 -4 -3 -2 -27 26 14 -13 -37 -6 43 40 -7 -5 -45 44 -39 38 -36 10 -9 15 16 17 -18 -19 
